,Unnamed: 0,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet
323,323,jam_croissant,"1/x Gary continues to be well fed...Despite every negative narrative in the 📚 being thrown at him: Bitcoin/Tether Fraud, TSLA neg Vanna Flows+ Elon/El Chapo rumors, alternating HSE/NDX overnight crashes, Cali Covid strains, &amp; ARKK doomsday machines... he has stood in the hole https://t.co/5mEmvuhNnR https://t.co/erT409ZUCM",2021-02-24 07:35:03+00:00,61151,20,26,252,x gary continue well feed despite every negative narrative throw bitcoin tether fraud tsla neg vanna flow elon el chapo rumor alternate hse ndx overnight crash cali covid strain amp arkk doomsday machine stand hole
324,324,SawyerMerritt,ARK Invest bought about $370M of $TSLA stock in the last 2 days. $ARKQ hit 10% $TSLA weighting after the purchasing. $ARKK (9.73%) and $ARKW (8.96%) are still under 10% $TSLA weight.,2021-02-24 04:41:34+00:00,75800,12,32,449,invest buy 370m tsla stock last day arkq hit tsla weight purchase arkk arkw still tsla weight
325,325,daniburgz,"$ARKK saw a record outflow yesterday of $456M. It's extremely rare for the fund, which previously hadn't seen a day of more than $140M outflows. https://t.co/POCMouEfFq",2021-02-24 04:36:01+00:00,17792,35,118,518,arkk saw record outflow yesterday 456m extremely rare fund previously see day 140m outflow
326,326,JCOviedo6,"Put differently, Ark sold its lowest risk most liquid positions to prop up the share prices of its most overvalued and illiquid positions. 

$ARKK https://t.co/A07KKY6wTY",2021-02-24 01:16:05+00:00,6469,24,46,351,put differently sell low risk liquid position prop share price overvalue illiquid position arkk
327,327,MarketRebels,"Cathie Wood’s @ARKInvest added 240k more shares of $TSLA today. They added 273k shares yesterday. 

$ARKK - 177k shares
$ARKW - 51k shares
$ARKQ - 12k shares",2021-02-24 01:03:34+00:00,130787,16,36,223,cathie wood add 240k share tsla today add 273k share yesterday arkk 177k share arkw 51k share arkq 12k share
328,328,SawyerMerritt,"Today ARK bought 177,214 shares (worth over $123.8m) of $TSLA for their ARKK ETF. In addition, ARK also bought 11,893 of $TSLA (worth over $8.3) for ARKQ ETF. Lastly, ARK bought 51,441 $TSLA for their ARKW ETF,worth over $35.9m. In total ARK bought over $168M of $TSLA today.

1/6 https://t.co/HcaIjlM25q",2021-02-24 00:55:52+00:00,75801,16,26,284,today buy share worth 8m tsla arkk etf addition also buy tsla worth arkq etf lastly buy tsla arkw etf worth 9m total buy 168m tsla today
329,329,zerohedge,the ARKK fund flow update will be something,2021-02-23 21:28:16+00:00,1102351,21,27,364,arkk fund flow update something
330,330,NateGeraci,"Wonder how many people basking in Ark’s “rough” performance over the past week are producing this ytd?

$ARKK +11.5%

$SPY +3.7%

Still don’t understand the Cathie Wood hate, especially from other active managers.",2021-02-23 21:09:13+00:00,10534,38,12,238,wonder many people bask rough performance past week produce ytd arkk spy still understand cathie wood hate especially active manager
331,331,Spencerjakab,"I'll take ""Headlines you only see at the top"" for $200, Alex. $BRKB $ARKK https://t.co/iLljpRaKRb",2021-02-23 18:48:49+00:00,8395,11,33,350,take headline see top alex brkb arkk
332,332,MarketRebels,"Cathie Wood’s @ARKInvest added 273k shares of $TSLA today

$ARKK - 184k shares
$ARKW - 62k shares
$ARKQ - 27k shares",2021-02-23 01:30:46+00:00,130787,37,48,420,cathie wood add 273k share tsla today arkk 184k share arkw 62k share arkq 27k share
333,333,SawyerMerritt,"Today ARK bought 183,707 shares (worth over $131m) of $TSLA for their ARKK ETF. In addition, ARK also bought 27,350 of $TSLA (worth over $19.5m) for ARKQ ETF. Lastly, ARK bought 62,048 $TSLA for their ARKW ETF,worth over $44.3m. In total ARK bought over $195M of $TSLA today.

1/2 https://t.co/csWm0zdZd6",2021-02-23 00:11:44+00:00,75800,49,139,853,today buy share worth 131m tsla arkk etf addition also buy tsla worth 5m arkq etf lastly buy tsla arkw etf worth 3m total buy 195m tsla today
